DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT
2018-12-19	29665250	Shimanoe C	2018-04-17	Genes Brain Behav	www.ncbi.nlm.nih.gov/pubmed/29665250	A genome-wide association study of coping behaviors suggests FBXO45 is associated with emotional expression.	Disengagement	6,403 Japanese ancestry individuals	7,685 Japanese ancestry individuals	Illumina [7094228] (imputed)	0
2018-12-19	29665250	Shimanoe C	2018-04-17	Genes Brain Behav	www.ncbi.nlm.nih.gov/pubmed/29665250	A genome-wide association study of coping behaviors suggests FBXO45 is associated with emotional expression.	Problem solving	6,403 Japanese ancestry individuals	7,685 Japanese ancestry individuals	Illumina [7094228] (imputed)	0
2018-12-19	29665250	Shimanoe C	2018-04-17	Genes Brain Behav	www.ncbi.nlm.nih.gov/pubmed/29665250	A genome-wide association study of coping behaviors suggests FBXO45 is associated with emotional expression.	Positive reappraisal	6,403 Japanese ancestry individuals	7,685 Japanese ancestry individuals	Illumina [7094228] (imputed)	0
2018-07-19	29662059	Howard DM	2018-04-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29662059	Genome-wide association study of depression phenotypes in UK Biobank identifies variants in excitatory synaptic pathways.	Major depressive disorder (probable)	30,603 British ancestry cases, 143,916 British ancestry controls	NA	NR [7666894] (imputed)	9
2018-07-11	29884306	Workalemahu T	2018-04-16	Placenta	www.ncbi.nlm.nih.gov/pubmed/29884306	Genetic variations and risk of placental abruption: A genome-wide association study and meta-analysis of genome-wide association studies.	Placental abruption	959 cases, 1553 controls	NA	Illumina [up to 4983952] (imputed)	9
2018-07-19	29662059	Howard DM	2018-04-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29662059	Genome-wide association study of depression phenotypes in UK Biobank identifies variants in excitatory synaptic pathways.	Depression (broad)	113,769 British ancestry cases, 208,811 British ancestry controls	NA	NR [7666894] (imputed)	111
2018-08-13	29662168	Hysi PG	2018-04-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29662168	Genome-wide association meta-analysis of individuals of European ancestry identifies new loci explaining a substantial fraction of hair color variation and heritability.	Hair color	290,891 European ancestry individuals	27,865 European ancestry individuals	Affymetrix, Illumina [at least 560000] (imputed)	24
2018-07-19	29662059	Howard DM	2018-04-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29662059	Genome-wide association study of depression phenotypes in UK Biobank identifies variants in excitatory synaptic pathways.	Major depressive disorder (ICD-10 coded)	8,276 British ancestry cases, 209,308 British ancestry controls	NA	NR [7666894] (imputed)	4
2018-09-25	29654602	Laville V	2018-04-13	Exp Dermatol	www.ncbi.nlm.nih.gov/pubmed/29654602	A Genome-Wide Association Study identifies new genes potentially associated with eyelid sagging.	Upper eyelid sagging severity	29 French ancestry individuals with grade 0-I sagging, 107 French ancestry individuals with grade II sagging, 192 French ancestry individuals with grade III sagging, 174 French ancestry individuals with grade IV-V sagging	NA	Illumina [795063]	4
2018-06-27	29659830	Warrington NM	2018-04-12	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/29659830	Genome-wide association study identifies nine novel loci for 2D:4D finger ratio, a putative retrospective biomarker of testosterone exposure in utero.	Digit length ratio (right hand)	12,636 European ancestry individuals	NA	Illumina [8400000] (imputed)	11
2018-06-06	29674289	Cheon EJ	2018-04-12	Atherosclerosis	www.ncbi.nlm.nih.gov/pubmed/29674289	Novel association between CDKAL1 and cholesterol efflux capacity: Replication after GWAS-based discovery.	Cholesterol efflux capacity	607 East Asian ancestry individuals	158 East Asian ancestry individuals	Affymetrix [~ 5800000] (imputed)	3
2018-06-29	29650774	Rotroff DM	2018-04-12	Diabetes	www.ncbi.nlm.nih.gov/pubmed/29650774	Genetic Variants in CPA6 and PRPF31 are Associated with Variation in Response to Metformin in Individuals with Type 2 Diabetes.	Change in HbA1c levels in response to metformin treatment in type 2 diabetes	845 European ancestry individuals, 222 African American individuals, 245 individuals	6,963 European ancestry individuals, 1,015 African American individuals, 4,520 individuals	Affymetrix, Illumina [26000000] (imputed)	1
2018-06-27	29659830	Warrington NM	2018-04-12	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/29659830	Genome-wide association study identifies nine novel loci for 2D:4D finger ratio, a putative retrospective biomarker of testosterone exposure in utero.	Digit length ratio (left hand)	14,382 European ancestry individuals, 1,279 non-European ancestry individuals	NA	Illumina [8400000] (imputed)	24
2018-06-27	29659830	Warrington NM	2018-04-12	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/29659830	Genome-wide association study identifies nine novel loci for 2D:4D finger ratio, a putative retrospective biomarker of testosterone exposure in utero.	Digit length ratio	12,586 European ancestry individuals	NA	Illumina [8400000] (imputed)	12
2018-10-18	30134803	Matana A	2018-04-11	Mol Med	www.ncbi.nlm.nih.gov/pubmed/30134803	Genome-wide meta-analysis identifies novel loci associated with parathyroid hormone level.	Plasma parathyroid hormone levels	806 Korculan (founder/genetic isolate) individuals, 831 Vis (founder/genetic isolate) individuals, 959 Croatian ancestry individuals	NA	Illumina [7411206] (imputed)	30
2018-07-19	29631575	Obeidat M	2018-04-10	Respir Res	www.ncbi.nlm.nih.gov/pubmed/29631575	The genetics of smoking in individuals with chronic obstructive pulmonary disease.	Cotinine levels in smokers with chronic obstructive pulmonary disease	4,024 European ancestry individuals	NA	Illumina [7807992] (imputed)	2
2018-07-19	29631575	Obeidat M	2018-04-10	Respir Res	www.ncbi.nlm.nih.gov/pubmed/29631575	The genetics of smoking in individuals with chronic obstructive pulmonary disease.	Exhaled carbon monoxide levels in smokers with chronic obstructive pulmonary disease	2,706 European ancestry individuals	NA	Illumina [7807992] (imputed)	3
2018-07-19	29631575	Obeidat M	2018-04-10	Respir Res	www.ncbi.nlm.nih.gov/pubmed/29631575	The genetics of smoking in individuals with chronic obstructive pulmonary disease.	Smoking cessation in chronic obstructive pulmonary disease	717 European ancestry sustained quitter cases, 2,175 European ancestry continuous smoker cases	NA	Illumina [7807992] (imputed)	2
2018-07-19	29631575	Obeidat M	2018-04-10	Respir Res	www.ncbi.nlm.nih.gov/pubmed/29631575	The genetics of smoking in individuals with chronic obstructive pulmonary disease.	Current cigarettes per day in chronic obstructive pulmonary disease	2,854 European ancestry individuals	NA	Illumina [7807992] (imputed)	2
2018-07-13	29632305	Lee HS	2018-04-09	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29632305	New Common and Rare Variants Influencing Metabolic Syndrome and Its Individual Components in a Korean Population.	Metabolic syndrome (multivariate analysis)	1,946 Korean ancestry cases, 6,427 Korean ancestry controls	430 Korean ancestry cases, 3,264 Korean ancestry controls	Affymetrix [344366]	10
2018-07-10	29632299	Vijayakrishnan J	2018-04-09	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29632299	Genome-wide association study identifies susceptibility loci for B-cell childhood acute lymphoblastic leukemia.	Acute lymphoblastic leukemia in childhood (B cell precursor)	2,442 European ancestry cases, 14,609 European ancestry controls	NA	Illumina [6755715] (imputed)	11
2018-07-19	29622589	Tereshchenko LG	2018-04-05	J Am Heart Assoc	www.ncbi.nlm.nih.gov/pubmed/29622589	Genome-Wide Associations of Global Electrical Heterogeneity ECG Phenotype: The ARIC (Atherosclerosis Risk in Communities) Study and CHS (Cardiovascular Health Study).	Global electrical heterogeneity phenotypes	3,057 Black individuals, 10,769 European ancestry individuals	NA	Affymetrix, Illumina [at least 9117794] (imputed)	15
2018-07-19	29621232	Spracklen CN	2018-04-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29621232	Identification and functional analysis of glycemic trait loci in the China Health and Nutrition Survey.	Type 2 diabetes	748 Chinese ancestry cases, 4,983 Chinese ancestry controls	NA	Illumina [8045193] (imputed)	3
2018-07-19	29621232	Spracklen CN	2018-04-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29621232	Identification and functional analysis of glycemic trait loci in the China Health and Nutrition Survey.	Glycated hemoglobin levels	6,943 Chinese ancestry individuals	NA	Illumina [8045193] (imputed)	1
2018-07-19	29621232	Spracklen CN	2018-04-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29621232	Identification and functional analysis of glycemic trait loci in the China Health and Nutrition Survey.	Fasting blood insulin	5,786 Chinese ancestry individuals	NA	Illumina [8045193] (imputed)	1
2018-07-19	29621232	Spracklen CN	2018-04-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/29621232	Identification and functional analysis of glycemic trait loci in the China Health and Nutrition Survey.	Fasting blood glucose	5,786 Chinese ancestry individuals	NA	Illumina [8045193] (imputed)	5
2018-12-18	29670602	Moreau K	2018-04-04	Front Microbiol	www.ncbi.nlm.nih.gov/pubmed/29670602	Human Genetic Susceptibility to Native Valve Staphylococcus aureus Endocarditis in Patients With S. aureus Bacteremia: Genome-Wide Association Study.	Infective endocarditis in Staphylococcus aureus infection	67 European ancestry cases, 72 European ancestry controls	57 Danish ancestry cases, 123 Danish ancestry controls	Illumina [631710]	0
2018-07-20	29618737	Napier MD	2018-04-04	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29618737	Genome-wide association study and meta-analysis identify loci associated with ventricular and supraventricular ectopy.	Supraventricular ectopy	1,618 European ancestry cases, 20,899 European ancestry controls, 652 African ancestry cases, 8,622 African ancestry controls, 354 Hispanic/Latino ancestry cases, 10,831 Hispanic/Latino ancestry controls	NA	Affymetrix, Illumina [NR] (imputed)	6
2018-07-20	29618737	Napier MD	2018-04-04	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29618737	Genome-wide association study and meta-analysis identify loci associated with ventricular and supraventricular ectopy.	Ventricular ectopy	2,468 European ancestry cases, 21,204 European ancestry controls, 481 African ancestry cases, 8,793 African ancestry controls, 168 Hispanic/Latino ancestry cases, 11,017 Hispanic/Latino ancestry controls	NA	Affymetrix, Illumina [NR] (imputed)	4
2018-09-20	29626450	Bonfiglio F	2018-04-04	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/29626450	Female-specific Association Between Variants on Chromosome 9 and Self-reported Diagnosis of Irritable Bowel Syndrome.	Irritable bowel syndrome	7,130 British ancestry women cases, 2,446 British ancestry men cases, 178,076 British ancestry women controls, 158,423 British ancestry men controls	NA	Affymetrix [7287191] (imputed)	15
2018-07-20	29618737	Napier MD	2018-04-04	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29618737	Genome-wide association study and meta-analysis identify loci associated with ventricular and supraventricular ectopy.	Ventricular ectopy or supraventricular ectopy (pleiotropy)	1,618 European ancestry supraventricular ectopy cases, 652 African ancestry supraventricular ectopy cases, 354 Hispanic/Latino ancestry supraventricular ectopy cases, 2,468 European ancestry ventricular ectopy cases, 481 African ancestry ventricular ectopy cases, 168 Hispanic/Latino ancestry ventricular ectopy cases, at least 19,586 European ancestry controls, at least 8,141 African ancestry controls, at least 10,663 Hispanic/Latino ancestry controls.	NA	Affymetrix, Illumina [NR] (imputed)	2
2018-07-19	29608257	Painter JN	2018-04-02	Cancer Med	www.ncbi.nlm.nih.gov/pubmed/29608257	Genetic overlap between endometriosis and endometrial cancer: evidence from cross-disease genetic correlation and GWAS meta-analyses.	Endometriosis or endometrial cancer (pleiotropy)	3,194 endometriosis cases, 5,330 non-endometriosis controls, 2,057 endometrial cancer cases, 3,866 non-endometrial cancer controls	NA	Illumina [462430]	8
2018-08-03	29650764	McDonough CW	2018-04-01	Circ Genom Precis Med	www.ncbi.nlm.nih.gov/pubmed/29650764	Genetic Variants Influencing Plasma Renin Activity in Hypertensive Patients From the PEAR Study (Pharmacogenomic Evaluation of Antihypertensive Responses).	Plasma renin activity levels	461 European ancestry individuals, 297 African American ancestry individuals	150 European ancestry individuals	Illumina [up to 1000000] (imputed)	3
2018-06-22	29603866	Pain O	2018-03-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/29603866	Genome-wide analysis of adolescent psychotic-like experiences shows genetic overlap with psychiatric disorders.	Anhedonia	4,937 European ancestry individuals, 821 European ancestry sibling pairs	1,089 European ancestry individuals, 635 European ancestry monozygotic twin pairs	Affymetrix, Illumina [4487870] (imputed)	0
2018-06-22	29603866	Pain O	2018-03-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/29603866	Genome-wide analysis of adolescent psychotic-like experiences shows genetic overlap with psychiatric disorders.	Paranoia and hallucinations	5,313 European ancestry individuals, 1,676 European ancestry sibling pairs	NA	Affymetrix, Illumina [4487870] (imputed)	0
2018-06-22	29603866	Pain O	2018-03-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/29603866	Genome-wide analysis of adolescent psychotic-like experiences shows genetic overlap with psychiatric disorders.	Parent-rated negative symptoms	5,642 European ancestry individuals, 2,228 European ancestry sibling pairs	NA	Affymetrix, Illumina [4487870] (imputed)	0
2018-06-22	29603866	Pain O	2018-03-31	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/29603866	Genome-wide analysis of adolescent psychotic-like experiences shows genetic overlap with psychiatric disorders.	Cognitive disorganisation	1,981 European ancestry individuals, 2,158 European ancestry sibling pairs	NA	Affymetrix, Illumina [4487870] (imputed)	0
2018-07-02	29603369	Naito T	2018-03-30	J Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29603369	Clinical and genetic risk factors for decreased bone mineral density in Japanese patients with inflammatory bowel disease.	Bone mineral density (lumbar spine) in inflammatory bowel disease	254 Japanese ancestry cases	NA	Affymetrix [4384682] (imputed)	4
2018-07-02	29603369	Naito T	2018-03-30	J Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29603369	Clinical and genetic risk factors for decreased bone mineral density in Japanese patients with inflammatory bowel disease.	Bone mineral density (femoral neck) in inflammatory bowel disease	254 Japanese ancestry cases	NA	Affymetrix [4384682] (imputed)	7
2018-06-11	29608535	Kuehn MH	2018-03-30	J Neuroophthalmol	www.ncbi.nlm.nih.gov/pubmed/29608535	Genetic Survey of Adult-Onset Idiopathic Intracranial Hypertension.	Idiopathic intracranial hypertension	63 European ancestry cases, 21 African American cases, 4 Native American cases, 1 Asian cases, 6 cases, 61 European ancestry controls, 21 African American controls, 3 Native American controls, 1 Asian controls, 9 controls	NA	Illumina [301908]	15
2018-05-11	29596498	Charles BA	2018-03-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29596498	Analyses of genome wide association data, cytokines, and gene expression in African-Americans with benign ethnic neutropenia.	Low white blood cell count	783 African American individuals with low white blood cell count, 1,214 African American individuals with high white blood cell count	NA	Affymetrix, Illumina [NR] (imputed)	1
2018-05-11	29596498	Charles BA	2018-03-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29596498	Analyses of genome wide association data, cytokines, and gene expression in African-Americans with benign ethnic neutropenia.	Low white blood cell count (conditioned on rs2814778)	592 African American individuals with low white blood cell count, 586 African American individuals with high white blood cell count	NA	Illumina [at least 656747] (imputed)	16
2018-05-11	29617998	Gao XR	2018-03-28	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/29617998	Genome-Wide Association Analyses Identify New Loci Influencing Intraocular Pressure.	Intraocular pressure	115,486 European ancestry individuals	NA	Affymetrix [~ 11900000] (imputed)	320
2018-06-11	29594489	Apewokin S	2018-03-28	Support Care Cancer	www.ncbi.nlm.nih.gov/pubmed/29594489	Host genetic susceptibility to Clostridium difficile infections in patients undergoing autologous stem cell transplantation: a genome-wide association study.	Clostridium difficile infection in multiple myeloma	57 European ancestry cases, 589 European ancestry controls	NA	Illumina [892589]	59
2018-05-29	29580174	Ala-Mutka EM	2018-03-27	Pharmacogenomics	www.ncbi.nlm.nih.gov/pubmed/29580174	Effect of hydrochlorothiazide on serum uric acid concentration: a genome-wide association study.	Change in serum uric acid levels in response to thiazide diuretic treatment (hydrochlorothiazide) in hypertension	214 Finnish cases	465 Finnish cases	Illumina [NR] (imputed)	0
2018-06-11	29590334	Bjornsson T	2018-03-24	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/29590334	A rare missense mutation in MYH6 associates with non-syndromic coarctation of the aorta.	Aortic coarctation	39 Icelandic ancestry cases, 140,661 Icelandic ancestry controls	81 Icelandic ancestry cases, 214,412 Icelandic ancestry controls	Illumina [32500000] (imputed)	1
2018-07-05	29572449	Gurung RL	2018-03-23	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29572449	Genetic markers for urine haptoglobin is associated with decline in renal function in type 2 diabetes in East Asians.	Urinary haptoglobin levels in type 2 diabetes	236 Chinese ancestry individuals	512 Chinese ancestry individuals, 57 Malay ancestry individuals	Illumina [781779]	1
2018-07-05	29572449	Gurung RL	2018-03-23	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29572449	Genetic markers for urine haptoglobin is associated with decline in renal function in type 2 diabetes in East Asians.	Plasma haptoglobin levels in type 2 diabetes	236 Chinese ancestry individuals	57 Malay ancestry individuals	Illumina [781779]	1
2018-06-21	29628937	Jiang J	2018-03-23	Front Genet	www.ncbi.nlm.nih.gov/pubmed/29628937	A Meta-Analysis of Genome-Wide Association Studies of Growth Differentiation Factor-15 Concentration in Blood.	Growth differentiation factor-15 levels	4,633 European ancestry individuals	807 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	1
2018-06-21	29628937	Jiang J	2018-03-23	Front Genet	www.ncbi.nlm.nih.gov/pubmed/29628937	A Meta-Analysis of Genome-Wide Association Studies of Growth Differentiation Factor-15 Concentration in Blood.	Growth differentiation factor-15 levels (conditioned on rs888663)	4,633 European ancestry individuals	807 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	2
2018-06-05	29563342	Li XS	2018-03-22	JCI Insight	www.ncbi.nlm.nih.gov/pubmed/29563342	Untargeted metabolomics identifies trimethyllysine, a TMAO-producing nutrient precursor, as a predictor of incident cardiovascular disease risk.	Plasma trimethyllysine levels	1,297 European ancestry individuals	NA	Affymetrix [9012028] (imputed)	6
2018-07-20	29563502	Fejzo MS	2018-03-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29563502	Placenta and appetite genes GDF15 and IGFBP7 are associated with hyperemesis gravidarum.	Severity of nausea and vomiting of pregnancy	14,988 European ancestry individuals with no NVP, 14,292 European ancestry individuals with slight NVP, 17,786 European individuals with moderate NVP, 5,445 European ancestry individuals with severe NVP, 1,220 European ancestry individuals with very severe NVP	NA	Illumina [11956931] (imputed)	7
2018-05-30	29566793	Nicolas A	2018-03-21	Neuron	www.ncbi.nlm.nih.gov/pubmed/29566793	Genome-wide Analyses Identify KIF5A as a Novel ALS Gene.	Amyotrophic lateral sclerosis	20,806 European ancestry cases, 59,804 European ancestry controls	4,159 cases, 18,650 controls	Illumina [10031630] (imputed)	10
2018-07-20	29563502	Fejzo MS	2018-03-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29563502	Placenta and appetite genes GDF15 and IGFBP7 are associated with hyperemesis gravidarum.	Hyperemesis gravidarum	1,306 European ancestry cases, 15,756 European ancestry controls without nausea and vomiting of pregnancy (NVP)	899 European ancestry cases, 749 European ancestry controls with and without nausea and vomiting of pregnancy (NVP)	Illumina [12687884] (imputed)	2
2018-07-04	29558500	Lee J	2018-03-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29558500	Genome-wide association analysis identifies multiple loci associated with kidney disease-related traits in Korean populations.	Creatinine levels	7,064 Korean ancestry individuals	6,509 Korean ancestry individuals	Affymetrix [345072]	0
2018-07-05	29559738	Sasayama D	2018-03-20	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/29559738	A genome-wide association study on photic sneeze syndrome in a Japanese population.	Photic sneeze reflex	360 Japanese ancestry cases, 11,049 Japanese ancestry controls	NA	Illumina [210086]	3
2018-07-04	29558500	Lee J	2018-03-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29558500	Genome-wide association analysis identifies multiple loci associated with kidney disease-related traits in Korean populations.	Blood urea nitrogen levels	7,064 Korean ancestry individuals	6,509 Korean ancestry individuals	Affymetrix [345072]	1
2018-07-06	29559693	Zengini E	2018-03-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29559693	Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis.	Osteoarthritis (self-reported)	12,658 European ancestry cases, 50,898 European ancestry controls		Affymetrix [16499239] (imputed)	29
2018-07-06	29559693	Zengini E	2018-03-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29559693	Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis.	Osteoarthritis of the hip or knee (hospital diagnosed)	6,586 European ancestry cases, 26,384 European ancestry controls	9,429 Icelandic ancestry cases, 199.421 Icelandic ancestry controls	Affymetrix [16396089] (imputed)	8
2018-07-06	29559693	Zengini E	2018-03-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29559693	Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis.	Osteoarthritis of the knee (hospital diagnosed)	4,462 European ancestry cases, 17,885 European ancestry controls	4,672 Icelandic ancestry cases, 172,791 Icelandic ancestry controls	Affymetrix [16309199] (imputed)	7
2018-07-06	29559693	Zengini E	2018-03-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29559693	Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis.	Osteoarthritis (hospital diagnosed)	10,083 European ancestry cases, 40,425 European ancestry controls	18,069 Icelandic ancestry cases, 246,293 Icelandic ancestry controls	Affymetrix [16468597] (imputed)	6
2018-07-06	29559693	Zengini E	2018-03-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29559693	Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis.	Osteoarthritis of the hip (hospital diagnosed)	2,396 European ancestry cases, 9,593 European ancestry controls	5,714 Icelandic ancestry cases, 199,421 Icelandic ancestry controls	Affymetrix [16122076] (imputed)	5
2018-07-04	29558500	Lee J	2018-03-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29558500	Genome-wide association analysis identifies multiple loci associated with kidney disease-related traits in Korean populations.	Uric acid levels	7,064 Korean ancestry individuals	3,703 Korean ancestry individuals	Affymetrix [345072]	6
2018-07-04	29558500	Lee J	2018-03-20	PLoS One	www.ncbi.nlm.nih.gov/pubmed/29558500	Genome-wide association analysis identifies multiple loci associated with kidney disease-related traits in Korean populations.	Glomerular filtration rate	7,064 Korean ancestry individuals	6,509 Korean ancestry individuals	Affymetrix [345072]	0
2018-10-16	29743933	Wu B	2018-03-18	Comput Math Methods Med	www.ncbi.nlm.nih.gov/pubmed/29743933	Fast and Accurate Genome-Wide Association Test of Multiple Quantitative Traits.	Glycemic traits (multi-trait analysis)	5,947 European ancestry individuals	NA	NR [~ 2500000] (imputed)	5
2019-01-28	29555444	Hamer MA	2018-03-16	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/29555444	Facial Wrinkles in Europeans: a Genome-Wide Association Study.	Facial wrinkles	3,513 north-western European ancestry individuals	599 north-western European ancestry individuals	Illumina [9009554] (imputed)	19
2018-05-30	29545352	Li Y	2018-03-15	J Am Soc Nephrol	www.ncbi.nlm.nih.gov/pubmed/29545352	Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms.	Serum metabolite concentrations in chronic kidney disease	1,143 European ancestry cases	NA	Illumina [up to 9281895] (imputed)	40
2018-07-20	29551627	Hawcutt DB	2018-03-15	Lancet Respir Med	www.ncbi.nlm.nih.gov/pubmed/29551627	Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.	Corticosteroid-induced adrenal suppression (peak cortisol < 350 nmol/L)	up to 35 European ancestry child cases with asthma, at least 372 European ancestry child controls with asthma, general adult population controls	6 child cases with asthma, 75 child controls with asthma	Illumina [430492]	1
2018-07-20	29551627	Hawcutt DB	2018-03-15	Lancet Respir Med	www.ncbi.nlm.nih.gov/pubmed/29551627	Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.	Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma	407 European ancestry child cases	NA	Illumina [430492]	6
2018-07-20	29551627	Hawcutt DB	2018-03-15	Lancet Respir Med	www.ncbi.nlm.nih.gov/pubmed/29551627	Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.	Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma	407 European ancestry child cases	NA	Illumina [430492]	4
2018-07-20	29551627	Hawcutt DB	2018-03-15	Lancet Respir Med	www.ncbi.nlm.nih.gov/pubmed/29551627	Susceptibility to corticosteroid-induced adrenal suppression: a genome-wide association study.	Corticosteroid-induced adrenal suppression (peak cortisol < 500 nmol/L)	up to 175 European ancestry child cases with asthma, at least 232 European ancestry child controls with asthma, general adult population controls	32 child cases with asthma, 49 child controls with asthma, 17 adult cases with COPD, 61 adult controls with COPD	Illumina [430492]	1
2018-06-04	29545352	Li Y	2018-03-15	J Am Soc Nephrol	www.ncbi.nlm.nih.gov/pubmed/29545352	Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms.	Fractional excretion of metabolites in chronic kidney disease	1,143 European ancestry cases	NA	Illumina [up to 9281895] (imputed)	4
2018-05-30	29545352	Li Y	2018-03-15	J Am Soc Nephrol	www.ncbi.nlm.nih.gov/pubmed/29545352	Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms.	Urinary metabolite concentrations in chronic kidney disease	1,143 European ancestry cases	NA	Illumina [up to 9281895] (imputed)	9
2018-11-09	29551738	Dong J	2018-03-15	Clin Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29551738	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	Barrett's esophagus x gastroesophageal reflux disease interaction	3,104 European ancestry cases, 2,182 European ancestry controls	NA	Illumina [993501]	0
2018-11-09	29551738	Dong J	2018-03-15	Clin Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29551738	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	Barrett's esophagus x smoking interaction	3,104 European ancestry cases, 2,182 European ancestry controls	NA	Illumina [993501]	0
2018-11-09	29551738	Dong J	2018-03-15	Clin Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29551738	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	Barrett's esophagus x pack-years of smoking exposure interaction	3,104 European ancestry cases, 2,182 European ancestry controls	NA	Illumina [993501]	4
2018-11-09	29551738	Dong J	2018-03-15	Clin Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29551738	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	Barrett's esophagus x BMI interaction	3,104 European ancestry cases, 2,182 European ancestry controls	NA	Illumina [993501]	1
2018-11-09	29551738	Dong J	2018-03-15	Clin Gastroenterol Hepatol	www.ncbi.nlm.nih.gov/pubmed/29551738	Interactions Between Genetic Variants and Environmental Factors Affect Risk of Esophageal Adenocarcinoma and Barrett's Esophagus.	Esophageal adenocarcinoma x gastroesophageal reflux disease interaction	2,284 European ancestry cases, 2,182 European ancestry controls	NA	Illumina [993501]	3
